[2, 4, 12, 20, 8, 5]
[2, 4, 6, 10, 4, 3]
[2, 4, 6, 5, 2, 2]
[2, 4, 18, 10, 4, 3]
[2, 4, 2, 15, 6, 4]
[2, 4, 12, 15, 6, 4]
[2, 4, 16, 20, 8, 5]
[2, 4, 14, 10, 4, 3]
[2, 4, 10, 15, 6, 4]
[2, 4, 2, 25, 10, 6]
[2, 4, 14, 20, 8, 5]
[2, 4, 16, 5, 2, 2]
[2, 4, 12, 10, 4, 3]
[2, 4, 14, 25, 10, 6]
[2, 4, 8, 20, 8, 5]
[2, 4, 4, 15, 6, 4]
[2, 4, 6, 25, 10, 6]
[2, 4, 20, 5, 2, 2]
[2, 4, 20, 20, 8, 5]
[2, 4, 12, 25, 10, 6]
[2, 4, 8, 5, 2, 2]
[2, 4, 14, 5, 2, 2]
[2, 4, 14, 15, 6, 4]
[2, 4, 8, 10, 4, 3]
[2, 4, 18, 15, 6, 4]
[2, 4, 10, 5, 2, 2]
[2, 4, 18, 20, 8, 5]
[2, 4, 4, 20, 8, 5]
[2, 4, 6, 20, 8, 5]
[2, 4, 12, 5, 2, 2]
[2, 4, 4, 5, 2, 2]
[2, 4, 8, 15, 6, 4]
[2, 4, 18, 5, 2, 2]
[2, 4, 20, 25, 10, 6]
[2, 4, 2, 10, 4, 3]
[2, 4, 6, 15, 6, 4]
[2, 4, 16, 15, 6, 4]
[2, 4, 10, 25, 10, 6]
[2, 4, 4, 10, 4, 3]
[2, 4, 10, 20, 8, 5]
